audio1_path,audio2_path,ground_truth,prediction,score1,score2,reasoning1,reasoning2,correct,prompt_type,dataset_name,n_shots,transcript_type,aggregate_fewshot,instruction_id,groundtruth1,groundtruth2
audio_data/somos_audio/5/audio_a.wav,audio_data/somos_audio/5/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, with a lifelike sound that enhances the listening experience.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, making the audio sound lifelike and engaging. Given these factors, the synthesized speech is of high quality.",0.5,standard_cot,somos,0,none,False,,4.666666666666667,3.642857142857143
audio_data/somos_audio/6/audio_a.wav,audio_data/somos_audio/6/audio_b.wav,2,2,4,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating good clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to a sense of naturalness. The overall quality is coherent and pleasant, with the voice sounding lifelike and expressive. There are minimal issues, if any, that detract from the listening experience.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, making the audio sound lifelike and engaging. Given these factors, the synthesized speech is of high quality.",1.0,standard_cot,somos,0,none,False,,2.4545454545454546,3.642857142857143
audio_data/somos_audio/7/audio_a.wav,audio_data/somos_audio/7/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and lifelike, making it pleasant to listen to. The combination of these factors suggests a high-quality synthesized speech.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, with a lifelike sound that enhances the listening experience.",0.5,standard_cot,somos,0,none,False,,3.4285714285714284,2.083333333333333
audio_data/somos_audio/9/audio_a.wav,audio_data/somos_audio/9/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow with appropriate intonation, rhythm, and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, with a lifelike sound that enhances the listening experience.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, with a lifelike sound that makes it easy to listen to. There are no significant issues that detract from the listening experience.",0.5,standard_cot,somos,0,none,False,,4.090909090909091,2.583333333333333
audio_data/somos_audio/10/audio_a.wav,audio_data/somos_audio/10/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and pleasant, resembling a lifelike human voice. There are no significant issues that detract from the listening experience.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with accurate intonation and rhythm, contributing to a sense of naturalness. The overall quality is coherent and lifelike, making the listening experience pleasant and engaging.",0.5,standard_cot,somos,0,none,False,,3.5,2.0
audio_data/somos_audio/11/audio_a.wav,audio_data/somos_audio/11/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with accurate intonation and rhythm, contributing to a sense of naturalness. The overall quality is coherent and lifelike, making the listening experience pleasant and engaging.",0.5,standard_cot,somos,0,none,False,,4.333333333333333,2.0
audio_data/somos_audio/12/audio_a.wav,audio_data/somos_audio/12/audio_b.wav,1,1,5,4,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating good clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and pleasant, resembling a lifelike human voice. There are minimal issues, if any, that detract from the listening experience.",1.0,standard_cot,somos,0,none,False,,4.333333333333333,2.8181818181818183
audio_data/somos_audio/13/audio_a.wav,audio_data/somos_audio/13/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.",0.5,standard_cot,somos,0,none,False,,4.333333333333333,2.6666666666666665
audio_data/somos_audio/14/audio_a.wav,audio_data/somos_audio/14/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.",0.5,standard_cot,somos,0,none,False,,4.333333333333333,3.0
audio_data/somos_audio/15/audio_a.wav,audio_data/somos_audio/15/audio_b.wav,1,tie,5,5,"The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and rhythm, contributing to its naturalness. The overall quality is coherent and lifelike, making it pleasant to listen to. The voice sounds very natural, with no artificial elements detected.","The audio clip demonstrates clear articulation with no noticeable distortions, noise, or artifacts, indicating high clarity. The speech has a natural flow, with appropriate intonation and expressiveness, closely resembling a human voice. The overall quality is coherent and pleasant, with a lifelike sound that enhances the listening experience.",0.5,standard_cot,somos,0,none,False,,4.333333333333333,3.0
