,model_name,average_win_rate,average_win_rate,average_win_rate,effective_win_rate,effective_win_rate,tie_rate
,,mean,std,count,mean,std,mean
0,asr+llama3+tts,0.47942386831275724,0.15324729367378956,3,0.4855967078189301,0.15922256890660993,0.012345679012345678
1,diva+tts,0.3950617283950617,0.09259259259259257,3,0.4002057613168724,0.09126274087919788,0.0102880658436214
2,gemini2-flash-exp,0.3991769547325103,0.04379382027529371,3,0.4465020576131687,0.08179497617407801,0.09465020576131687
3,gemini2-flash-exp+asr+tts,0.3127572016460905,0.023369993192593704,3,0.34465020576131683,0.02933452145963634,0.06378600823045268
4,gemini2-flash-text+tts,0.4012345679012346,0.04451297870943199,3,0.43106995884773663,0.08994853084112923,0.059670781893004114
5,gpt4o-audio,0.17901234567901234,0.16366757510571422,3,0.5,0.0,0.6419753086419753
6,gpt4o-audio+asr+tts,0.24074074074074073,0.055555555555555546,3,0.3683127572016461,0.11697218689168656,0.2551440329218107
7,gpt4o-text+tts,0.3621399176954732,0.17243485848183793,3,0.37551440329218105,0.18322869081348866,0.026748971193415638
8,llama-omni,0.12345679012345678,0.010691671651659736,3,0.1286008230452675,0.007767319377850564,0.0102880658436214
9,moshi,0.016460905349794237,0.017819452752766227,3,0.0205761316872428,0.01458585069831052,0.008230452674897118
10,qwen2-audio+tts,0.21604938271604937,0.06956436833076943,3,0.25102880658436216,0.030449894211828674,0.06995884773662552
11,typhoon2-audio,0.15432098765432098,0.06079541852960558,3,0.17798353909465017,0.044974265420564596,0.047325102880658436
12,typhoon2-audio+tts,0.16255144032921812,0.08220158170962215,3,0.17901234567901236,0.07010997957778117,0.03292181069958847
