,model_name,average_win_rate,average_win_rate,average_win_rate,effective_win_rate,effective_win_rate,tie_rate
,,mean,std,count,mean,std,mean
0,asr+llama3+tts,0.4012345679012346,0.18332398030762345,2,0.4104938271604939,0.17459426695964142,0.018518518518518517
1,diva+tts,0.38271604938271603,0.16586455361165933,2,0.4027777777777778,0.13749298523071762,0.040123456790123455
2,gemini2-flash-exp,0.37962962962962965,0.03928371006591926,2,0.41203703703703703,0.0807498484688341,0.06481481481481481
3,gemini2-flash-exp+asr+tts,0.25308641975308643,0.0,2,0.28395061728395066,0.03491885339192827,0.06172839506172839
4,gemini2-flash-text+tts,0.35802469135802467,0.026189140043946242,2,0.3811728395061728,0.002182428336995448,0.046296296296296294
5,gpt4o-audio,0.17592592592592593,0.030553996717937248,2,0.5,0.0,0.6481481481481481
6,gpt4o-audio+asr+tts,0.25925925925925924,0.08729713347982068,2,0.3379629629629629,0.11130384518677137,0.15740740740740738
7,gpt4o-text+tts,0.3179012345679012,0.10039170350179376,2,0.34259259259259256,0.09166199015381166,0.04938271604938271
8,llama-omni,0.10802469135802469,0.004364856673991033,2,0.11882716049382716,0.010912141684977594,0.021604938271604937
9,moshi,0.024691358024691357,0.008729713347982067,2,0.027777777777777776,0.008729713347982067,0.006172839506172839
10,qwen2-audio+tts,0.12654320987654322,0.004364856673991044,2,0.14814814814814814,0.017459426695964134,0.043209876543209874
11,typhoon2-audio,0.07407407407407407,0.05237828008789241,2,0.08024691358024691,0.05237828008789241,0.012345679012345678
12,typhoon2-audio+tts,0.12654320987654322,0.0654728501098655,2,0.14969135802469136,0.08511470514282515,0.046296296296296294
