,model_name,average_win_rate,average_win_rate,average_win_rate,effective_win_rate,effective_win_rate,tie_rate
,,mean,std,count,mean,std,mean
0,asr+llama3+tts,0.3765432098765432,0.008729713347982088,2,0.37962962962962965,0.008729713347982088,0.006172839506172839
1,diva+tts,0.294945987654321,0.01936905149083522,2,0.296508487654321,0.01715934279962725,0.003125
2,gemini2-flash-exp,0.33641975308641975,0.1527699835896862,2,0.3472222222222222,0.1549524119266817,0.021604938271604937
3,gemini2-flash-exp+asr+tts,0.30246913580246915,0.14840512691569513,2,0.32716049382716045,0.15713484026367722,0.04938271604938271
4,gemini2-flash-text+tts,0.329591049382716,0.09073445811058867,2,0.3404706790123456,0.09302600786443398,0.02175925925925926
5,gpt4o-audio,0.18209876543209874,0.01309457002197311,2,0.5,0.0,0.6358024691358024
6,gpt4o-audio+asr+tts,0.25,0.1702294102856503,2,0.28240740740740744,0.1680469819486548,0.06481481481481481
7,gpt4o-text+tts,0.3364197530864197,0.07420256345784758,2,0.34259259259259256,0.07420256345784759,0.012345679012345678
8,llama-omni,0.16049382716049382,0.19205369365560548,2,0.16820987654320987,0.18987126531860998,0.015432098765432098
9,moshi,0.12345679012345678,0.16586455361165928,2,0.13117283950617284,0.15495241192668172,0.015432098765432098
10,qwen2-audio+tts,0.26481481481481484,0.1911807223208073,2,0.2772376543209877,0.1912898437376571,0.02484567901234568
11,typhoon2-audio,0.05246913580246913,0.013094570021973102,2,0.05709876543209876,0.010912141684977585,0.009259259259259259
12,typhoon2-audio+tts,0.21913580246913578,0.23133740372152478,2,0.2345679012345679,0.24006711706950684,0.030864197530864196
