,model_name,average_win_rate,average_win_rate,average_win_rate,effective_win_rate,effective_win_rate,tie_rate
,,mean,std,count,mean,std,mean
0,asr+llama3+tts,0.44032921810699593,0.1014926951040208,3,0.448559670781893,0.09742206256098848,0.016460905349794237
1,diva+tts,0.31893004115226337,0.04465542060537182,3,0.32098765432098764,0.04567484131774304,0.004115226337448559
2,gemini2-flash-exp,0.4526748971193415,0.14638005277228325,3,0.4794238683127572,0.15190495575185917,0.053497942386831275
3,gemini2-flash-exp+asr+tts,0.382716049382716,0.1840500187145132,3,0.40534979423868306,0.18315068980636753,0.04526748971193415
4,gemini2-flash-text+tts,0.40534979423868317,0.14255562202212982,3,0.43106995884773663,0.15586674406101278,0.05144032921810699
5,gpt4o-audio,0.06610082304526749,0.06797280412633896,3,0.5,0.0,0.867798353909465
6,gpt4o-audio+asr+tts,0.30864197530864196,0.1826993652709721,3,0.419753086419753,0.1593919917737698,0.22222222222222218
7,gpt4o-text+tts,0.45051310100536535,0.16969101638446393,3,0.464017815283638,0.1731053462116579,0.027009428556545294
8,llama-omni,0.19932150856904726,0.1804503479487861,3,0.21393251549721312,0.18420558196049885,0.02922201385633172
9,moshi,0.11316872427983539,0.1854250846651164,3,0.12345679012345678,0.19527551185349604,0.0205761316872428
10,qwen2-audio+tts,0.27983539094650206,0.19089283693158807,3,0.3034979423868313,0.19720104924440965,0.047325102880658436
11,typhoon2-audio,0.08024691358024691,0.028287504289850864,3,0.09362139917695472,0.03859053360804742,0.026748971193415638
12,typhoon2-audio+tts,0.28210137000573005,0.2120727389167957,3,0.30589415012762405,0.2082601326258659,0.04758556024378809
