model_name,win_rate_pos1,win_rate_pos2,average_win_rate,effective_win_rate,tie_rate,samples_evaluated
gpt4o-audio,0.09876543209876543,0.2345679012345679,0.16666666666666666,0.5,0.6666666666666666,81
gpt4o-audio+asr+tts,0.18518518518518517,0.2962962962962963,0.24074074074074073,0.2962962962962963,0.1111111111111111,81
gemini2-flash-exp,0.2839506172839506,0.345679012345679,0.31481481481481477,0.34259259259259256,0.05555555555555555,81
gemini2-flash-exp+asr+tts,0.2125,0.325,0.26875,0.278125,0.018750000000000003,80
typhoon2-audio,0.1728395061728395,0.2222222222222222,0.19753086419753085,0.2037037037037037,0.012345679012345678,81
llama-omni,0.07407407407407407,0.13580246913580246,0.10493827160493827,0.1111111111111111,0.012345679012345678,81
moshi,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.015432098765432098,0.006172839506172839,81
gpt4o-text+tts,0.32098765432098764,0.2716049382716049,0.2962962962962963,0.3117283950617284,0.030864197530864196,81
gemini2-flash-text+tts,0.3950617283950617,0.37037037037037035,0.38271604938271603,0.40432098765432095,0.043209876543209874,81
diva+tts,0.45,0.325,0.3875,0.390625,0.00625,80
typhoon2-audio+tts,0.12345679012345678,0.14814814814814814,0.13580246913580246,0.1450617283950617,0.018518518518518517,81
qwen2-audio+tts,0.13580246913580246,0.19753086419753085,0.16666666666666666,0.17592592592592593,0.018518518518518517,81
asr+llama3+tts,0.5925925925925926,0.43209876543209874,0.5123456790123456,0.5154320987654321,0.006172839506172839,81
